## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,,,,,,,,,,
d760fc41d247628378ce776cdc54ddc1,Sleek Insulated Coat,coats,Stay warm but avoid that 'overstuffed' look with our Sleek Insulated Coat. It offers warmth without bulk.,/content/we-retail/us/en/products/women/coats/sleek-insulated-coat/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680852820.jpg,75.19,/content/we-retail/us/en/products/women/coats/sleek-insulated-coat.html,2,1,,,,,,,,,,
954065d04a48989074e61fd1190ae323,Sonja Insulated Jacket,coats,"Warm and waterproof mountain performance is enhanced with stylish accents like faux fur trim, for wear both on the mountain and apr?s-ski.",/content/we-retail/us/en/products/women/coats/sonja-insulated-jacket/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680868536.jpg,189,/content/we-retail/us/en/products/women/coats/sonja-insulated-jacket.html,3,1,,,,,,,,,,
49888bfa482fbcb403effbce6b9be101,Candide Trail Short,shorts,The best of all possible worlds: The Candide short can go just about anywhere thanks to a versatile fabric blend.,/content/we-retail/us/en/products/women/shorts/candide-trail-short/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680857427.jpg,48,/content/we-retail/us/en/products/women/shorts/candide-trail-short.html,5,1,,,,,,,,,,
ffee7fba609e08e4574460665e0603c7,Bahamas Shorts,shorts,"Lightweight plaid cotton adds a boost of trendsetting style to our favorite shorts. Chic and sporty for the beach and beyond, you won't find another pair of shorts with as much playful attitude",/content/we-retail/us/en/products/women/shorts/bahamas-shorts/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680854154.jpg,38,/content/we-retail/us/en/products/women/shorts/bahamas-shorts.html,10,1,,,,,,,,,,
094edb15722e6a2e5c7bd321ccced3be,Sussex Rain Boots,footwear,"Classic in style, the Sussex Rain Boots provide excellent waterproof protection and great traction.",/content/we-retail/us/en/products/men/footwear/sussex-rain-boots/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680869255.jpg,65,/content/we-retail/us/en/products/men/footwear/sussex-rain-boots.html,2,1,,,,,,,,,,
d996d5a85779bf9029eafe7e5b986690,Spixa Runners,footwear,Featuring our latest mesh technology for ultimate flexibility. Memory foam cushion hugs your feet in support during those long cross country runs.,/content/we-retail/us/en/products/equipment/running/spixa-runners/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680868818.jpg,119.99,/content/we-retail/us/en/products/equipment/running/spixa-runners.html,3,1,,,,,,,,,,
1977f824202a758ad9ae6c1f1b36221d,Basa MP3 Player,equipment,"Carries up to 20,000 of your favorite tunes! Also features built in timer and workout monitor to track your energy and calories.",/content/we-retail/us/en/products/equipment/running/basa-mp3-player/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680789414.jpg,149.99,/content/we-retail/us/en/products/equipment/running/basa-mp3-player.html,4,1,,,,,,,,,,
0089dab56071b4d9b4957be38ed80ab5,GoMobile Fitness Monitor/Smart Music Player,equipment,The GoMobile fitness monitor and smart music player tracks your performance and pumps out tunes to keep you going.,/content/we-retail/us/en/products/equipment/running/gomobile-fitness-monitorsmart-music-player/_jcr_content/root/product/image.img.jpg/libs/settings/wcm/designs/default/-/page/root/responsivegrid/productgrid/item/image/cq_ck_1473680827100.jpg,150,/content/we-retail/us/en/products/equipment/running/gomobile-fitness-monitorsmart-music-player.html,3,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
